Chromosome/scaffold name	Gene name	Gene % GC content	Entrezgene	Gene start (bp)	Gene end (bp)	 type
19	A1BG	55.80	1	58345178	58353492	protein_coding
20	ADA	50.13	100	44584896	44652252	protein_coding
18	CDH2	37.17	1000	27932879	28177946	protein_coding
HSCHR1_3_CTG32_1	AKT3	37.28	10000	500341	867542	protein_coding
1	AKT3	37.34	10000	243488233	243851079	protein_coding
3	ZBTB11-AS1	52.47	100009676	101676424	101679217	lncRNA
14	MED6	38.94	10001	70581257	70600690	protein_coding
15	NR2E3	49.58	10002	71792638	71818259	protein_coding
HSCHR11_2_CTG8	NAALAD2	34.98	10003	37638	99017	protein_coding
11	NAALAD2	34.98	10003	90131515	90192894	protein_coding
16	DUXB	41.62	100033411	75693893	75701461	protein_coding
22	DDTL	51.49	100037417	23966888	23972556	protein_coding
HSCHR22_1_CTG7	DDTL	51.61	100037417	203264	208896	protein_coding
HSCHR22_1_CTG7	DDT	54.24	100037417	207729	216835	protein_coding
22	DDT	54.25	100037417	23970542	23980525	protein_coding
11	NAALADL1	54.38	10004	65044818	65058553	protein_coding
9	CDKN2B-AS1	38.84	100048912	21994139	22128103	lncRNA
19	SIGLEC14	47.82	100049587	51639478	51646825	protein_coding
12	NINJ2-AS1	46.32	100049716	630858	664196	lncRNA
20	ACOT8	49.07	10005	45841721	45857405	protein_coding
10	ABI1	38.44	10006	26746593	26861087	protein_coding
5	GNPDA1	44.88	10007	141991749	142013041	protein_coding
11	KCNE3	48.41	10008	74454841	74467729	protein_coding
X	ZBTB33	39.37	10009	120250752	120258398	protein_coding
7	GTF2IP4	46.79	100093631	73154938	73207283	lncRNA
16	CDH3	49.21	1001	68636189	68727468	protein_coding
2	TANK	35.76	10010	161136908	161236230	protein_coding
7	POM121C	45.74	100101267	75416786	75486299	protein_coding
18	ZSCAN30	42.35	100101467	35251058	35290245	protein_coding
5	SRA1	45.73	10011	140537340	140557677	protein_coding
22	SNORD125	55.21	100113380	29333163	29333258	snoRNA
20	UCKL1-AS1	61.88	100113386	63953384	63956985	lncRNA
6	TMEM170B	37.06	100113407	11537749	11583524	protein_coding
HG1012_PATCH	SNORA84	55.64	100124534	127190	127322	snoRNA
9	SNORA84	55.64	100124534	92292461	92292593	snoRNA
2	SNORA70B	49.63	100124537	61417244	61417378	snoRNA
14	SNORA11B	52.71	100124539	91126425	91126553	snoRNA
19	ZGLP1	55.51	100125288	10304803	10309880	protein_coding
3	FAM86JP	53.06	100125556	125916609	125930056	lncRNA
X	FMR1-AS1	46.29	100126270	147909431	147911817	lncRNA
15	MIR147B	38.75	100126311	45433050	45433129	miRNA
X	MIR374B	41.67	100126317	74218547	74218618	miRNA
12	MIR920	50.67	100126320	24212421	24212495	miRNA
