"peak","3h-Mon-Rep1","3h-Mon-Rep2","3h-Mon-Rep3","6h-Mon-Rep1","6h-Mon-Rep2","6h-Mon-Rep3","12h-Mon-Rep1","12h-Mon-Rep2","12h-Mon-Rep3"
"chr1_778407_779001",19,40,37,29,49,37,26,8,53
"chr1_827238_828083",19,60,39,20,36,38,26,9,59
"chr1_1115967_1116567",19,68,39,21,27,44,27,12,47
"chr1_1231515_1232381",12,46,32,19,41,37,23,9,41
"chr1_1307912_1308628",9,58,58,27,39,49,23,9,48
"chr1_1324477_1325281",12,30,19,13,13,13,12,4,19
"chr1_1375020_1375698",16,55,48,20,47,52,21,19,56
"chr1_1399114_1399959",9,44,29,19,25,37,19,7,30
"chr1_1511757_1512497",16,45,43,16,23,24,29,8,33
"chr1_1615009_1615657",8,50,35,13,28,24,22,4,23
"chr1_1658711_1659563",17,52,57,20,44,53,35,13,33
"chr1_1692341_1693687",14,104,60,40,31,57,36,13,66
"chr1_1724161_1724777",11,49,65,23,45,41,33,8,58
"chr1_1745683_1746976",14,74,66,22,39,39,30,8,45
"chr1_1908688_1909403",11,37,30,13,30,20,17,1,27
"chr1_1919084_1919766",9,64,50,25,56,41,28,8,48
"chr1_2227506_2228079",13,31,26,16,12,16,12,5,34
"chr1_2234220_2234803",8,42,28,15,13,24,19,5,31
"chr1_2255565_2256395",2,35,19,11,22,14,8,3,20
"chr1_2290608_2291175",11,26,16,15,12,8,12,1,23
"chr1_2391273_2392022",25,70,51,23,54,31,29,11,48
"chr1_2412360_2413405",8,53,27,19,28,31,23,8,33
"chr1_2586159_2586808",11,38,23,12,27,16,11,4,23
"chr1_3624547_3625136",6,54,33,9,24,24,16,9,34
"chr1_3856521_3857631",12,68,36,22,42,34,26,9,45
"chr1_3899962_3901213",19,71,60,28,40,34,27,14,49
"chr1_4007403_4008007",3,10,18,5,23,11,17,7,18
"chr1_5991987_5992843",18,95,67,25,51,53,28,13,60
"chr1_6025918_6026455",3,33,17,11,11,17,10,6,24
"chr1_6393326_6394093",16,30,20,5,16,20,10,4,24
"chr1_6579660_6580277",5,41,23,10,14,25,16,5,32
"chr1_6602467_6603305",8,27,26,13,12,15,6,1,30
"chr1_6613254_6613930",24,63,61,30,48,47,43,20,50
"chr1_6784746_6785576",27,117,109,42,88,75,73,22,96
"chr1_7783713_7784271",4,26,12,11,13,14,7,1,19
"chr1_7942143_7942845",7,25,23,12,12,18,5,0,21
"chr1_7961261_7961852",16,68,46,15,14,46,27,10,43
"chr1_8525692_8526295",9,33,26,11,10,13,17,2,29
"chr1_8878460_8879302",12,72,61,35,47,39,37,17,60
"chr1_9128934_9129744",4,23,18,11,18,24,15,2,14
"chr1_9428642_9429336",2,33,34,18,24,24,33,4,30
"chr1_9538948_9540068",10,44,32,12,31,26,23,11,40
"chr1_9910205_9910875",18,66,36,33,39,32,31,10,52
"chr1_10032413_10033192",23,55,51,25,41,33,36,10,60
"chr1_10210188_10210823",12,28,30,11,10,15,15,2,29
"chr1_10398498_10399291",19,58,42,30,22,37,25,10,39
"chr1_11012070_11013156",16,44,34,19,32,28,18,8,36
"chr1_11262284_11262983",12,47,32,12,30,32,20,7,43
"chr1_11272966_11273949",10,50,38,31,35,37,13,10,27
"chr1_11805587_11806407",18,83,66,25,54,51,36,15,77
"chr1_11979932_11980628",16,62,46,31,43,30,37,5,40
"chr1_12019042_12019678",11,34,36,16,26,25,25,3,33
"chr1_15524521_15525301",12,42,55,24,55,51,45,11,54
"chr1_15526380_15527014",21,81,72,30,61,51,37,12,73
"chr1_15835651_15836256",11,39,43,22,39,16,26,7,33
"chr1_16206271_16206997",17,44,28,15,24,33,16,7,41
"chr1_16352135_16352866",12,30,22,9,16,15,14,7,25
"chr1_16366761_16367618",7,49,31,21,16,28,29,7,33
"chr1_16613108_16613939",15,50,35,17,16,22,15,6,17
"chr1_16644452_16644996",13,49,24,14,17,18,13,2,18
"chr1_17053852_17054498",15,47,60,23,61,34,37,17,54
"chr1_18902592_18903204",10,43,22,21,16,27,8,8,26
"chr1_18956555_18957114",5,29,24,8,13,16,6,4,19
"chr1_19210006_19210656",12,47,42,17,22,27,23,8,25
"chr1_19311839_19312447",4,32,10,2,18,14,10,5,14
"chr1_19484942_19486150",10,35,17,17,18,21,15,6,27
"chr1_19881993_19882614",10,31,26,16,16,13,9,7,26
"chr1_20661297_20661968",8,39,36,17,16,28,31,12,49
"chr1_20786220_20787337",19,55,30,23,48,34,36,12,55
"chr1_21176709_21177276",5,15,32,10,19,15,10,2,18
"chr1_21334056_21334664",16,30,18,8,17,19,8,4,28
"chr1_21782513_21783910",7,58,29,31,38,31,22,7,34
"chr1_22039678_22040282",3,18,8,15,13,15,4,4,8
"chr1_22052322_22052939",10,23,15,6,10,14,8,8,19
"chr1_22451467_22452195",3,20,26,8,14,11,13,9,17
"chr1_23019140_23019647",2,30,11,11,13,21,8,4,21
"chr1_23344179_23344816",10,53,49,25,34,30,26,10,49
"chr1_23368035_23369168",19,86,77,45,50,70,44,16,61
"chr1_23868105_23868624",9,23,20,10,5,13,7,2,10
"chr1_23958945_23959925",4,48,32,19,22,22,16,7,26
"chr1_24415372_24415946",7,32,14,13,16,25,8,5,15
"chr1_24642701_24643540",29,68,64,24,41,40,34,5,53
"chr1_24669115_24669804",23,49,24,14,25,19,14,1,16
"chr1_24744750_24745523",12,48,39,26,41,42,34,8,48
"chr1_25022299_25022988",13,50,31,22,21,34,20,7,26
"chr1_25033797_25034415",10,32,18,10,5,12,8,2,13
"chr1_25239500_25240300",9,33,22,20,24,27,18,10,35
"chr1_25246819_25247851",12,59,41,26,43,36,29,13,38
"chr1_25337605_25338847",15,44,29,14,39,42,23,7,29
"chr1_25859262_25859785",10,20,13,8,4,9,7,2,17
"chr1_25997905_25998562",11,40,31,26,25,25,16,8,43
"chr1_26035029_26035842",5,30,10,11,14,10,13,0,9
"chr1_26111398_26112054",6,38,22,16,18,15,13,5,27
"chr1_26233690_26234591",20,70,59,36,52,43,37,8,50
"chr1_26279534_26280322",6,21,14,10,11,13,14,1,22
"chr1_26306374_26306945",9,25,18,13,12,18,16,2,27
"chr1_26431960_26432595",9,50,38,22,24,32,22,7,33
"chr1_26471875_26472484",6,13,14,10,12,19,7,6,23
"chr1_26472779_26473420",6,29,19,15,13,19,19,15,21
"chr1_26541618_26542790",20,91,69,32,46,36,32,8,57
"chr1_26620121_26621245",15,77,37,32,22,49,27,6,45
"chr1_26787596_26788429",4,38,33,15,22,21,17,9,27
"chr1_26864605_26865513",15,42,37,11,20,21,14,9,36
"chr1_26921327_26921910",9,38,32,13,27,20,23,3,28
"chr1_27111899_27112547",18,47,22,11,12,16,18,7,33
"chr1_27234098_27234878",10,57,40,20,25,28,30,10,52
"chr1_27321806_27322494",9,57,40,19,32,35,28,8,37
"chr1_27489922_27490531",10,40,26,25,18,21,20,5,24
"chr1_27725448_27726130",18,68,48,28,41,48,43,20,67
"chr1_27772834_27773638",8,46,33,20,20,27,18,5,25
"chr1_27914379_27915013",9,33,35,20,24,19,19,3,31
"chr1_28246994_28247596",18,40,25,9,13,25,20,4,38
"chr1_28259083_28259621",12,27,18,15,9,24,17,3,21
"chr1_28328728_28329303",7,35,23,13,26,10,19,5,25
"chr1_28505598_28506244",4,29,25,8,22,17,18,12,25
"chr1_28552635_28553220",7,25,34,12,27,25,21,8,33
"chr1_28581374_28582234",8,35,27,15,23,15,10,4,25
"chr1_28648071_28648703",7,20,13,11,10,13,8,1,13
"chr1_28736315_28737207",4,28,21,15,29,23,13,5,30
"chr1_28914076_28914759",15,51,24,14,28,19,21,5,30
"chr1_29181682_29182282",9,32,27,12,13,13,9,2,24
"chr1_30717876_30719210",17,68,70,53,55,60,48,13,80
"chr1_30756392_30757172",15,55,39,19,15,26,16,8,68
"chr1_30823990_30824804",10,34,13,10,12,14,15,7,13
"chr1_31065443_31066088",7,33,30,14,21,30,25,10,28
"chr1_31296565_31297232",13,69,40,24,37,36,21,10,51
"chr1_31644627_31645498",11,55,45,28,54,36,25,14,46
"chr1_31938209_31938816",9,33,28,11,25,23,11,3,35
"chr1_32013382_32014102",17,55,66,34,76,36,31,13,67
"chr1_32072656_32073304",8,47,20,23,18,20,21,5,19
"chr1_32179322_32180175",14,37,29,25,31,22,19,5,38
"chr1_32291708_32292360",10,32,19,12,19,26,10,4,32
"chr1_32394172_32394912",12,74,53,37,42,55,43,10,49
"chr1_32650311_32651402",12,54,31,23,31,31,20,9,54
"chr1_32817147_32817986",11,61,30,23,39,36,25,10,48
"chr1_32992271_32992908",11,34,27,16,21,19,10,2,21
"chr1_33036722_33037245",7,35,36,18,26,14,20,3,39
"chr1_33127067_33127763",12,66,37,19,43,31,24,10,46
"chr1_33472148_33472788",9,39,24,14,19,16,19,7,29
"chr1_35192643_35193617",12,61,37,23,30,35,27,8,42
"chr1_35556972_35557956",17,50,38,22,18,27,24,2,29
"chr1_35769648_35770282",6,21,20,8,20,18,13,3,25
"chr1_35882851_35883634",7,26,21,10,17,16,12,1,14
"chr1_36088470_36089123",7,33,18,9,15,16,6,4,23
"chr1_36149240_36149906",20,76,51,41,58,47,35,19,48
"chr1_36223943_36224937",32,88,72,43,72,85,44,19,75
"chr1_36385753_36386400",8,35,35,20,26,23,14,6,34
"chr1_36464140_36464683",6,34,14,13,17,17,11,4,16
"chr1_36486607_36487345",4,22,11,13,13,17,13,4,20
"chr1_37595466_37596274",12,33,25,11,12,16,11,4,15
"chr1_37690230_37690828",7,45,22,9,18,26,12,7,29
"chr1_37691559_37692702",15,65,38,25,32,32,31,6,53
"chr1_37859007_37860465",9,60,46,30,30,39,26,4,32
"chr1_37931555_37932156",7,35,24,18,16,31,13,4,22
"chr1_37989812_37990432",5,28,20,10,14,23,23,4,30
"chr1_38012297_38012936",8,44,29,10,24,33,29,10,40
"chr1_38859547_38860199",7,41,31,20,17,22,18,7,27
"chr1_38873001_38873744",10,39,31,18,39,24,25,6,43
"chr1_39882966_39883799",8,24,13,10,9,14,13,7,11
"chr1_40039689_40040985",14,78,74,34,35,56,46,14,77
"chr1_40257692_40258381",21,54,38,32,34,28,29,9,54
"chr1_40373368_40373998",10,22,12,9,13,11,12,2,10
"chr1_40449683_40450395",5,35,10,11,15,18,6,5,14
"chr1_40531261_40531859",9,21,10,8,21,17,13,2,19
"chr1_40691344_40692447",17,78,68,26,52,55,45,10,69
"chr1_40862112_40862848",11,57,30,21,18,31,16,10,29
"chr1_40979208_40980165",9,59,30,16,29,36,19,6,38
"chr1_41003536_41004107",17,28,17,8,7,18,10,6,24
"chr1_41360814_41361437",7,46,34,17,30,28,28,7,48
"chr1_41802760_41803283",6,32,16,16,12,14,7,3,33
"chr1_42462850_42463426",7,29,41,25,26,19,34,6,40
"chr1_42658038_42658693",7,31,24,12,22,15,19,3,21
"chr1_42681974_42682595",7,51,38,22,20,24,13,5,32
"chr1_42766317_42767534",30,87,80,38,72,51,40,16,75
"chr1_42816489_42817594",21,44,37,24,29,37,29,5,33
"chr1_42846037_42846849",13,41,29,14,16,32,19,4,36
"chr1_43171949_43172973",5,51,16,9,19,22,16,7,22
"chr1_43358586_43359148",5,38,22,15,11,29,26,6,36
"chr1_43368052_43368672",9,34,15,7,10,24,15,2,14
"chr1_43649638_43650498",22,76,52,35,42,41,29,9,58
"chr1_43707149_43707727",8,39,17,13,13,24,14,10,35
"chr1_43946255_43947283",16,66,53,23,26,47,36,6,43
